taxon	Kingdom	Phylum	Class	Order	Family	Genus	Species	confidence	label	dominant_habitat
73004d9954c238afc02144ff8e7b0d29	Bacteria	TM7	TM7-3					0.9999999863671204	TM7	No abundance
dca9e1941ebeb6f4f87f503cc3b83de6	Bacteria	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Phormidiaceae			0.9986827099484841	Cyanobacteria	No abundance
48d291bdaec8f368211a241ecf687964	Bacteria	Verrucomicrobia	Opitutae	[Cerasicoccales]	[Cerasicoccaceae]			0.9995760828499052	Verrucomicrobia	No abundance
da17ac15ae66d64fcdfb95923b6f0edf	Bacteria	OD1	ZB2					0.9999994500643885	OD1	No abundance
14d577b625535febc869ee5ec9378f6d	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	[Thermodesulfovibrionaceae]	BD2-6		0.9999993552038067	Nitrospirae	No abundance
479ad96407fdf08241884f90789a534d	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales				0.9701191473001984	Proteobacteria	No abundance
8e973f0ac586660ff26ed921c8d8ae89	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae			0.9999911357809681	Chloroflexi	No abundance
f97898d21f7342f04e551b588fe7a011	Bacteria	Proteobacteria	Deltaproteobacteria					0.9366626914776351	Proteobacteria	No abundance
b3e1a79a88e28be74e1c50fcf5da3385	Bacteria	Verrucomicrobia						0.9543688707129766	Verrucomicrobia	No abundance
975c5fac444979ccf100ce54ab458db2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales				0.9999972819605593	Bacteroidetes	No abundance
8204c510916c3a548ff9c211f41cdda7	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			0.9757909957298007	Firmicutes	No abundance
c381dc2c3f0dc90cc58df1e1d9d26ea9	Bacteria	Proteobacteria	Gammaproteobacteria					0.9999693993959774	Proteobacteria	No abundance
e15f4e02fefb6d980f358f39411d964b	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.8467453909429937	Firmicutes	No abundance
95aa401dce4070cf49bfdf7819696971	Bacteria	Proteobacteria	Betaproteobacteria	Procabacteriales	Procabacteriaceae			0.774953208206905	Proteobacteria	No abundance
fb19b6e88f9c63191c0c4dc87076a030	Bacteria	OD1	ABY1					0.9999706275308942	OD1	No abundance
fa980bb0d73cfc9bdbd3fc9780799a13	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9977887042036058	Firmicutes	No abundance
569d65caf8ba32b8513ccc0fc0ec85ec	Bacteria	OP3	koll11					0.9983866123653278	OP3	No abundance
16ae4792375f5fb741aa7855ad2913ad	Bacteria	Chlorobi	BSV26	A89				0.9800554035503832	Chlorobi	No abundance
4527824d8e5a1c1ea5185b5398a6dd5d	Bacteria	Proteobacteria	Deltaproteobacteria	PB19				0.9925054992207195	Proteobacteria	No abundance
006184174cbaae14490cd64440107579	Bacteria							0.7311238192955587	00618417	No abundance
f8d4a139065797ff819b07c9d1447769	Bacteria	Spirochaetes	MVP-15	PL-11B10				0.9999770528112952	Spirochaetes	No abundance
c2d2407a6a3fe62616cb3cd837468d5f	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales				0.9415025408728707	Proteobacteria	No abundance
935d89c30a0f4b198f4f9a86bde557de	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales				0.9829516156749069	Proteobacteria	No abundance
3b7e71c5c9a7df9e80bd5b554b398686	Bacteria	TM7	TM7-1					0.9993825816696463	TM7	No abundance
319ad8fe50e917e14ed6fa1851741014	Bacteria	Verrucomicrobia	Verruco-5	WCHB1-41	RFP12			0.999999716762571	Verrucomicrobia	No abundance
27727c9295fdd860f13ed0371d5d865a	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	Saprolegnia	ferax	0.9999997511099562	Proteobacteria	No abundance
585ee97cf6827a65dc6b6ceeb11581ef	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	Saprolegnia	ferax	0.9999993948334646	Proteobacteria	No abundance
