sample_id	depth	iter	shannon	observed_features	faith_pd	group
SRR10070130	5121	2	6.46257686106359	531.0	41.35004889177244	Riverwater
SRR10070130	5121	3	6.301555994215454	498.0	38.76563992338315	Riverwater
SRR10070130	5121	4	6.368537630172217	512.0	39.4422449531225	Riverwater
SRR10070130	5121	5	6.4185632485123705	530.0	41.52864570384705	Riverwater
SRR10070130	5121	6	6.46720813760595	544.0	42.80901072770291	Riverwater
SRR10070130	5121	7	6.464406266457146	531.0	40.68871371303065	Riverwater
SRR10070130	5121	8	6.388055854159639	527.0	39.42552960620904	Riverwater
SRR10070130	5121	9	6.421872146917628	525.0	41.35824062123394	Riverwater
SRR10070130	5121	10	6.463469609064621	532.0	42.43881661897579	Riverwater
SRR10070130	5422	1	6.379906181087081	519.0	39.54294745593911	Riverwater
SRR10070130	5422	2	6.441605453118533	539.0	41.82500182564301	Riverwater
SRR10070130	5422	3	6.423097141289849	544.0	40.82106558164494	Riverwater
SRR10070130	5422	4	6.435333513567383	537.0	41.55967078554752	Riverwater
SRR10070130	5422	5	6.455011222227858	547.0	41.61444333301301	Riverwater
SRR10070130	5422	6	6.511667193453318	538.0	40.33218679165638	Riverwater
SRR10070130	5422	7	6.442964486754332	533.0	40.49288222483419	Riverwater
SRR10070130	5422	8	6.414702960740851	547.0	42.58210346537891	Riverwater
SRR10070130	5422	9	6.4316911322354215	544.0	41.8570979541275	Riverwater
SRR10070130	5422	10	6.520424193092431	545.0	41.93106432506488	Riverwater
SRR10070130	5723	1	6.528531257339519	540.0	41.86100966523471	Riverwater
SRR10070130	5723	2	6.459755444979417	546.0	42.09251807750243	Riverwater
SRR10070130	5723	3	6.489339540208702	544.0	42.25095405002968	Riverwater
SRR10070130	5723	4	6.4518934000063	536.0	41.02454504777477	Riverwater
SRR10070130	5723	5	6.496284171979148	537.0	40.92266808785317	Riverwater
SRR10070130	5723	6	6.441763923396828	543.0	41.39097399744975	Riverwater
SRR10070130	5723	7	6.396536191854813	560.0	42.8596354968663	Riverwater
SRR10070130	5723	8	6.50246839203742	553.0	42.12911139578949	Riverwater
SRR10070130	5723	9	6.43296853748376	555.0	42.62862348542949	Riverwater
SRR10070130	5723	10	6.402380844234655	542.0	42.10519538648014	Riverwater
