sample_id	depth	iter	shannon	observed_features	faith_pd	name	habitat	Riv_vs_Gro	Sed_vs_Soil
SRR10070130	5723	8	6.553047477539532	563.0	42.4797570315654	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5723	9	6.525675453343677	555.0	42.74472799709748	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5723	10	6.584131061603251	584.0	43.7706221349942	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6025	1	6.611626505423206	559.0	42.62952213725398	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6025	2	6.5774438988798885	580.0	45.73480142198371	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6025	3	6.589634507663399	575.0	43.99174815893042	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6025	4	6.549443415771716	570.0	43.15016626653807	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6025	5	6.5881142829629695	569.0	44.00765069053006	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6025	6	6.549239178421592	567.0	44.01692030320969	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6025	7	6.545978078980467	572.0	43.68298483100814	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6025	8	6.580379293305272	560.0	43.11130104625335	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6025	9	6.575671442658218	571.0	43.88174798857163	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6025	10	6.540640924963378	569.0	45.26826262391136	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6326	1	6.592783875251528	579.0	45.72141776903816	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6326	2	6.568494446731432	578.0	45.80134099847861	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6326	3	6.611411770839209	572.0	43.75429105748522	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6326	4	6.625853384374143	582.0	45.98384855816086	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6326	5	6.516717182531373	571.0	44.3080672913575	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6326	6	6.51833089240498	586.0	44.22396414898991	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6326	7	6.540688349589454	574.0	43.84847298226389	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6326	8	6.566363061178278	565.0	45.41472092943456	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6326	9	6.531929457957004	579.0	45.12780345138489	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6326	10	6.5660474327660845	579.0	45.72409564626841	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6627	1	6.541580254505196	589.0	45.17088996216822	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6627	2	6.534177069894265	568.0	43.95792752550884	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6627	3	6.58195046658349	583.0	44.94705772056763	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6627	4	6.501233104823309	583.0	46.03586966028386	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6627	5	6.589700028740827	589.0	46.14958784776805	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6627	6	6.579033694667248	584.0	44.9336359472442	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6627	7	6.551755894660706	585.0	45.43398147641854	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6627	8	6.503266772058823	587.0	46.17183219811034	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6627	9	6.515555629014895	585.0	44.84001380365513	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6627	10	6.536504113127824	561.0	44.32651783134039	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6928	1	6.585291737408088	595.0	45.69433710583907	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6928	2	6.539480330003541	581.0	45.22397499527394	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6928	3	6.62376147163921	599.0	46.44944697049631	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6928	4	6.618617671869863	587.0	44.51999792896383	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6928	5	6.571279380457909	588.0	44.93432346357549	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6928	6	6.577096750388512	588.0	44.19346846589748	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6928	7	6.590975066848606	591.0	45.0602047730558	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	6928	8	6.558670039224531	590.0	45.81419004672497	SRR10070130-Riverwater	Riverwater	Riverwater	
