taxon	Kingdom	Phylum	Class	Order	Family	Genus	Species	confidence	label	dominant_habitat
8a4ccc3877595e1037ec26b0e058a54d	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	[Thermodesulfovibrionaceae]	GOUTA19		0.9999999996848601	Nitrospirae	Sediment
7ff346973a282aa55de296afdb5d74af	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales				0.9999989470424709	Actinobacteria	Soil
6193573d9d1a36cdefdf604d1cc988c1	Bacteria	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	DA101		0.9999989888184754	Verrucomicrobia	Sediment
dc2754c489f071a398ecb501b2fbe561	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		0.999999888144294	Bacteroidetes	Riverwater
3b753f3cfd086b302e4846641bbd15aa	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	gargensis	0.7324126567678715	Crenarchaeota	Soil
bc3676c17839094c4fa8e33268905268	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	gargensis	0.7320753864617248	Crenarchaeota	Soil
8599524cec26e00cc7df72e7ecc01220	Bacteria	Acidobacteria						0.9996768349932468	Acidobacteria	Soil
9bd7a18778ce1be172692bdb8c3e7bfc	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	gargensis	0.8562651670183142	Crenarchaeota	Soil
3f52da87e4b1048bd243b4bfa26a7800	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	[Thermodesulfovibrionaceae]	LCP-6		0.999999999971763	Nitrospirae	Sediment
c617574a5fb330783ca03698a965b798	Archaea	Crenarchaeota	MCG	pGrfC26				0.9892538697675916	Crenarchaeota	Sediment
cd58a8379f5bc9097c1b01021daa6c62	Bacteria	Proteobacteria	Betaproteobacteria					0.9450077551331235	Proteobacteria	Sediment
8b91e5b1c412877f96a4a342ab6dc680	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		0.9999987291266283	Proteobacteria	Groundwater
3dbf66ee7707a9c91038139380697b07	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae			0.7406187685954521	Proteobacteria	Riverwater
3256bb824d3c3e59e2f91df2de5359e2	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	gargensis	0.9629162085092722	Crenarchaeota	Soil
15cf48c25825941e0d72b74ede95cb6d	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Brachymonas	denitrificans	0.9889467530954354	Proteobacteria	Riverwater
69023e9c72ccf5e979a500bf1c235026	Bacteria	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	DA101		0.9996257357328159	Verrucomicrobia	Soil
635235400c4509aaf3f0d1611f19ae53	Bacteria	Proteobacteria	Deltaproteobacteria					0.9994844365251236	Proteobacteria	Sediment
26005dfb7ad2e8cdbb139846af329663	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		0.9865228980862434	Firmicutes	Soil
e8accbbab64dba2fe98edb7072796cc5	Bacteria	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	DA101		0.9999995052055314	Verrucomicrobia	Soil
