sample_id	rank	taxon	abundance	lineage	habitat
SRR10070133	Class	Nitrosopumilales	0.10948004045451841	Archaea;Thaumarchaeota;Nitrosopumilales	Groundwater
SRR10070133	Class	Clostridia	0.02189303349396157	Bacteria;Firmicutes;Clostridia	Groundwater
SRR10070133	Class	""	0.012537926111011958	Bacteria;Candidatus_Saccharibacteria;	Groundwater
SRR10070133	Class	Nitrososphaerales	0.012493307156880244	Archaea;Thaumarchaeota;Nitrososphaerales	Groundwater
SRR10070133	Family	Gallionellaceae	0.23839907192575405	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae	Groundwater
SRR10070133	Family	""	0.13143256588732227	Bacteria;;;;	Groundwater
SRR10070133	Family	Comamonadaceae	0.13000475935510739	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Groundwater
SRR10070133	Family	Nitrosopumilus	0.10948004045451841	Archaea;Thaumarchaeota;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus	Groundwater
SRR10070133	Family	Moraxellaceae	0.10552382652150634	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	Groundwater
SRR10070133	Family	""	0.04079659706109822	Bacteria;Proteobacteria;Betaproteobacteria;;	Groundwater
SRR10070133	Family	Pseudomonadaceae	0.030102921054197155	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Groundwater
SRR10070133	Genus	Sideroxydans	0.23839907192575405	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sideroxydans	Groundwater
SRR10070133	Genus	""	0.13143256588732227	Bacteria;;;;;	Groundwater
SRR10070133	Genus	""	0.10948004045451841	Archaea;Thaumarchaeota;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus;	Groundwater
SRR10070133	Genus	Acinetobacter	0.10515200190374205	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	Groundwater
SRR10070133	Genus	Polaromonas	0.07652150633589148	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas	Groundwater
SRR10070133	Genus	""	0.04079659706109822	Bacteria;Proteobacteria;Betaproteobacteria;;;	Groundwater
SRR10070133	Genus	Pseudomonas	0.030102921054197155	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	Groundwater
SRR10070133	Kingdom	Bacteria	0.8571896008090906	Bacteria	Groundwater
SRR10070133	Kingdom	Archaea	0.14281039919090963	Archaea	Groundwater
SRR10070133	Order	Nitrosomonadales	0.24150752573026354	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales	Groundwater
SRR10070133	Order	Burkholderiales	0.13863109048723898	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	Groundwater
SRR10070133	Order	Pseudomonadales	0.1356267475757035	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	Groundwater
SRR10070133	Order	""	0.13143256588732227	Bacteria;;;	Groundwater
SRR10070133	Order	Nitrosopumilaceae	0.10948004045451841	Archaea;Thaumarchaeota;Nitrosopumilales;Nitrosopumilaceae	Groundwater
SRR10070133	Order	""	0.04079659706109822	Bacteria;Proteobacteria;Betaproteobacteria;	Groundwater
SRR10070133	Order	""	0.02370753762865132	Bacteria;Proteobacteria;Gammaproteobacteria;	Groundwater
SRR10070133	Phylum	Proteobacteria	0.6301981081563448	Bacteria;Proteobacteria	Groundwater
SRR10070133	Phylum	""	0.13143256588732227	Bacteria;	Groundwater
SRR10070133	Phylum	Thaumarchaeota	0.12197334761139865	Archaea;Thaumarchaeota	Groundwater
SRR10070133	Phylum	Firmicutes	0.034683800345053244	Bacteria;Firmicutes	Groundwater
SRR10070133	Phylum	Bacteroidetes	0.016241299303944315	Bacteria;Bacteroidetes	Groundwater
SRR10070133	Phylum	Woesearchaeota	0.013564162056041407	Archaea;Woesearchaeota	Groundwater
SRR10070133	Phylum	Candidatus_Saccharibacteria	0.012537926111011958	Bacteria;Candidatus_Saccharibacteria	Groundwater
SRR10070134	Class	Betaproteobacteria	0.41677841206594896	Bacteria;Proteobacteria;Betaproteobacteria	Riverwater
SRR10070134	Class	Flavobacteriia	0.20492190592953016	Bacteria;Bacteroidetes;Flavobacteriia	Riverwater
SRR10070134	Class	Gammaproteobacteria	0.16649425947920257	Bacteria;Proteobacteria;Gammaproteobacteria	Riverwater
SRR10070134	Class	""	0.025477951036358762	Bacteria;;	Riverwater
SRR10070134	Class	Campylobacteria	0.0247627804809522	Bacteria;Campilobacterota;Campylobacteria	Riverwater
SRR10070134	Class	Alphaproteobacteria	0.02227245443980435	Bacteria;Proteobacteria;Alphaproteobacteria	Riverwater
SRR10070134	Class	""	0.021799931037125013	Bacteria;Candidatus_Saccharibacteria;	Riverwater
SRR10070134	Family	Flavobacteriaceae	0.20155038759689922	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	Riverwater
SRR10070134	Family	""	0.1920743777377623	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;	Riverwater
SRR10070134	Family	Comamonadaceae	0.14823186851078501	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Riverwater
SRR10070134	Family	Moraxellaceae	0.05887386179329017	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	Riverwater
SRR10070134	Family	""	0.025477951036358762	Bacteria;;;;	Riverwater
SRR10070134	Family	Aeromonadaceae	0.022974854092435795	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae	Riverwater
SRR10070134	Family	Arcobacteraceae	0.02280883235635927	Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae	Riverwater
